year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2005,0.6,0.3,0.2,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.7
2006,-0.9,0.6,0.4,0.4,0.3,0.1,-0.1,-0.1,-0.1,-0.3,-0.6,-0.8
2007,0.7,-0.8,-0.6,-0.4,-0.1,0.0,0.1,0.3,0.5,0.8,0.9,0.9
2008,-1.6,0.2,-0.1,-0.3,-0.4,-0.5,-0.6,-0.8,-1.1,-1.3,-1.5,-1.6
2009,-0.8,-1.5,-1.3,-1.0,-0.8,-0.6,-0.4,-0.2,-0.2,-0.4,-0.6,-0.7
2010,1.5,-0.8,-0.6,-0.3,0.0,0.3,0.5,0.6,0.7,1.0,1.4,1.6
2011,-1.4,1.2,0.8,0.4,-0.2,-0.7,-1.0,-1.3,-1.6,-1.6,-1.6,-1.6
2012,-0.9,-1.2,-0.9,-0.7,-0.6,-0.4,-0.5,-0.6,-0.8,-1.0,-1.1,-1.0
2013,-0.4,-0.7,-0.6,-0.5,-0.3,0.0,0.2,0.4,0.4,0.3,0.1,-0.2
2014,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.3
2015,0.5,-0.5,-0.3,0.0,0.2,0.2,0.0,0.1,0.2,0.5,0.6,0.7
2016,2.5,0.5,0.5,0.7,0.9,1.2,1.5,1.9,2.2,2.4,2.6,2.6
2017,-0.3,2.1,1.6,0.9,0.4,-0.1,-0.4,-0.5,-0.6,-0.7,-0.7,-0.6
2018,-0.9,-0.2,0.1,0.2,0.3,0.3,0.1,-0.1,-0.4,-0.7,-0.8,-1.0
2019,0.7,-0.9,-0.7,-0.5,-0.2,0.0,0.1,0.2,0.5,0.8,0.9,0.8
2020,0.5,0.7,0.7,0.7,0.5,0.5,0.3,0.1,0.2,0.3,0.5,0.5
2021,-1.0,0.5,0.4,0.2,-0.1,-0.3,-0.4,-0.6,-0.9,-1.2,-1.3,-1.2
2022,-1.0,-0.9,-0.8,-0.7,-0.5,-0.4,-0.4,-0.5,-0.7,-0.8,-1.0,-1.0
2023,-0.7,-0.9,-1.0,-1.1,-1.0,-0.9,-0.8,-0.9,-1.0,-1.0,-0.9,-0.8
2024,1.8,-0.4,-0.1,0.2,0.5,0.8,1.1,1.3,1.6,1.8,1.9,2.0
